,train_loss,val_loss
0,0.48118915384408656,0.45211538741608714
1,0.4642996127012545,0.45084498602629713
2,0.46136140547416826,0.44765012865328085
3,0.45892916178261794,0.44766709365673707
4,0.45963564236012716,0.44822760661946065
5,0.45675087274697723,0.4481954269016845
6,0.4553708036582937,0.4489551024346412
7,0.4546707996300289,0.4475581779887405
8,0.45434336036286027,0.44921874383833843
9,0.45340478860196615,0.4485849201176237
10,0.4518392636662438,0.44838837946014565
11,0.45123877449641153,0.4490802257875853
12,0.45047431693821355,0.4474980652583802
13,0.4504242482954863,0.4478813069656428
14,0.45034044514257443,0.4475292644546002
15,0.44944120210314553,0.4486295882030881
16,0.4498768391117217,0.44838757335133694
17,0.4481279178901955,0.4489745712732967
18,0.4475658074730918,0.44991913029161684
19,0.4475225759877099,0.4472380405614145
20,0.4463654447642584,0.4470476872181591
21,0.44661068637219686,0.44911845770314773
22,0.44579445174131443,0.44790442287921906
23,0.4446124444720606,0.4478135430863135
24,0.4447627021522118,0.45114554515116323
25,0.4440070179877458,0.4499630396124683
26,0.44302345039667906,0.4487493263266761
27,0.44252409346835325,0.4492614908057426
28,0.4422002923709375,0.4506674232865185
29,0.44086150474964625,0.45148016311196837
