,id
0,02160d7347444bd4861a44ade4af5e4b
1,0499a74ca60649ceb5c710157ed5b6b2
2,05bdd3fc5ea843d1aa31286e18b2ae21
3,06fe239a223748b79e3ec990d55d12ee
4,08398925750c4a76b253224384b830cb
5,09d655ee86014c9a9937bb0dd9fc13b0
6,0a133a06aefb4bd1bd4ae9167065016c
7,0a73518788ff47a68a268e4766ae29cd
8,0c10b12597094e0d90ed49355c3f2cfe
9,0c66be351a2b4828b9b37fa491f578da
10,0d16c33974064c39858a36b5cf64f825
11,0dce7d0cc10b42aa8d9dcd22ea0407df
12,0dfef4ee63da4af4bf13a2d47783b77c
13,0e9c06555f754065846ca49d270664e9
14,117299852d354160964ed97660e6dc6d
15,1223ec202dc94087a124d2939f45b3e4
16,12a69f20975f49d1a255c8242a72249b
17,131a3b96dddc4fad8914e3aeeb39e8ce
18,13478090f0fd4b66b034ebb0c562eca8
19,164f87f97caf4b6482a29d3a76f56ee3
20,1658e2cc12f34795a7f0122930ee027b
21,181442a6dae046c08097177e76782c92
22,1a57f4e2c2044d32b85de43137eda25f
23,1ae1d760fcdc48868efa8bb46207d35a
24,1b5a57aad1ad47f195d5a5c55f259346
25,1c4fc704e6a3492086c33dc0be29dd08
26,1da89cc8c7d143798b33d37f1d0e3259
27,1e3e27e8e0e64c08947474c4e9c06a33
28,1ea72e31c7bc4151b22fb2ffdb5bd8ea
29,221487c3710049f4850e7ec66801b498
30,22330a7d0faa40889c74684d6dd84e80
31,232761d14bae4cd5971f9be6768b8139
32,24458f3e1ff147e5b4fcac18a6f57780
33,24e6e21c6e4d453a85cf4fdbde37c906
34,25025b96586e4573adcf42625cea39c0
35,252f6d0c33a04af4a39bffb17782813b
36,256f3a2818254a048b14fc419d72a781
37,25e752ab29844047b657fbd79ca410c1
38,27304f28084140edac2b847d96a571d0
39,28a8a3582a7f44eb9fedadbd3cc6598a
40,293c46c42c75462cbdf69aeae8ba4ff2
41,2af459cf56c5469f908c9a21aaa77b30
42,2b1da799026d40bb9898575608ff6d5e
43,2b33f94e81054a5b9b0150addbb065fb
44,2d91b3489ec64d9e818677da7a1d0adc
45,2e36ba7ab064479c9e65732b5023bd43
46,2ecc9acea64f4fd597352ddb4e611c20
47,2f55652d2720426b91a73a68eb70c98a
48,2f65490e3c3c4405a506a35d77f740f6
49,325567d91dbd4b33a2a851a38679b990
50,34ad1711c9fe479aad670f67701f184f
51,34c2d7d9f7664bc4b4fce1bc36c2f538
52,34e52e93a22344d1beb47bd6110d3321
53,36e449261e2241c6b6a43827a61e3b71
54,37ec167a467f409a8cbcbbfc758ea194
55,38cd6f1414bb4428bb27dfde046ebccf
56,3b6bfa9c044240f3a0ca430c9e197c32
57,3d4de6873a604256bfc44bd3d9369a47
58,417ccba521b145db93e4f3ffb9f4b512
59,438b64e949a449d091251a4126087a42
60,452d1517d69647e686e5d620d8a94af8
61,45f85564e2f0423a8ee5e38cf2d355aa
62,48a19f1c03ac47df9ff2bbfeb0493748
63,48d8a276ab1842378422ecb23976b7c3
64,4c64692866c945a5931719a6370218b5
65,4ccb4677629d4f6996c035355ab09f4d
66,4d2366ead90b476593df6416bc54117c
67,4d3cebc089984ce88e7021bfcc50a922
68,4e29cd7083c24bb79e5dfa9eee83a2f6
69,4eedb45bffe34ecd9bd1e2db9f3d6a1d
70,5010acc652694eb680b530eb1a4c0d4b
71,50f5fbb0d3c743cc80bfb9ecd35441fc
72,5302341deb584fdfad969c7a15cb65ee
73,548ea95260a244e28457b0ea1decc348
74,5a585d31cf82438bb872849384cf7393
75,5fa1dff1f03d4f02ad12cc40823eeb14
76,5faf3f3282e649869913781479565177
77,60b5c854d8224d1595d873e2dd9c5d1a
78,614a6a8c88ec40c391220f1e74204ec1
79,63036fe09a354ee8ad6406da86642573
80,63724f1729d14570ae373e51e6fa43b9
81,6418e87b18194e4e8d899323148ae838
82,657c9a5ad8604d34beb735b7d4c237a6
83,67b75b4103bc4ad9a9a112c66c97d2cd
84,68049d09318b437b9f55ad1baad9129a
85,6afb1b44ebb242409e4233a0e1c313f1
86,6cf22c6962de413da6a8aa4589f07fae
87,6d8c8df1771e410f925eec5b534900f7
88,71af4b8ab72c4b71ad775518f84a7a8c
89,722b7bf0b535424f90e71bd9112b08d6
90,728f308594fc4f69b0eb7cef778335b6
91,72fc431335354ff1909f2af091ed7668
92,72fc5b0161da4254bffbfdc69c356c88
93,7413065e897f4b2f84f1d5aa971d9a17
94,7510a35d5d6349d6b23bfd95293ab069
95,754be06e859941aeaa9346d3d0a87376
96,7572205bf5af4037847e2ad0b4544c64
97,76c82186f4744e318f657534a16c94d0
98,77b8902f801848009427e1f92895a1b3
99,784d7db55cfd478c8cdfc17848320d99
100,7953d89bbc414dc1838e49adc5d124e3
101,7a3e7e33138a45acbc18102058ccd0ee
102,7d6a922138f6417a8d569d344cbe57fd
103,7e2bacb1a38d45f4b674d4207c9c56eb
104,804dfaf9f01c494eae9ba7cfc4f9ae62
105,807bb6b4ab13466e97c69abd8e525be8
106,82559491dc4f46f7bc8ae11f059e5a74
107,886928870fc148269a478a81e0aa6a95
108,88d62ab25e07418bab50caeceeb62b26
109,893a6228ea6c4790bd48a35c088b6eea
110,89cf57135bdd4eba8a0b9bb8b9702acd
111,8c8926cb09e84e6f8326129df6b843d0
112,8cf5aa11cc604dcaa526f84f42e8f7b4
113,8dcf18fa49fd47b3897c2bf4331cf5e3
114,8e99b86d2d1c4561b0da569a4dcbf0e5
115,8fa49bd1aa054e86b369aeae5ea9d869
116,909fd210477b461e9c2af428157a91d5
117,90ddc48d39314cc7b89abe7727a007d2
118,93dff88d04e444e5a56d0ea13408d8ea
119,96145a2578c24722bf44c0fe862ebc91
120,99dfe53e874b49948e1b4f9732f6f573
121,9abf21df0d2a48859d9a2a8ae2625ad1
122,9b19bacf606f4966a71b2fdef4f06e5a
123,9e3d7761df874d45937c30907988fcf8
124,a0737d09ad9d4594a88c14cbca0f696a
125,a0dd0d9ff4864869a27b339b41613e03
126,a1a89955a55740dfb79a540024dd2532
127,a232da1bfbb248dca0f95ae7a2ef0264
128,a28086d5f7354a12956d1fff1fb024de
129,a3113d53fe024e1fa94c825b2593cd9f
130,a346410b830c4f1698238d47eb5f9cb9
131,a38cec041d4e487d9f849e5cdd489d1d
132,a4b66e47c96f4bd58a9dad4053b4ee19
133,a6440576733e4cf0873565d57d250c3b
134,a64b82e2701a49a7be91920e553c393b
135,a685548ae7034d7e8c0638b4fd7fbb52
136,aba81bef6b2e4fed8210733a37d9be76
137,ac847e13dedd413aac8252e6516af08c
138,acae7f32227140e099685668a4f488b8
139,add9dd463a1f4f83befe4cf7bb668f9e
140,afbd5a9288fb410cae3ecca51815a1d0
141,b0a6823be9f445f882b273d49f46cc29
142,b21ee74a5f614c05b5e4588c94176a29
