,id,gerne_id,gerne_idx
0,0005021e0ef3472780638892dfe1b43a,7,6
1,0039267affc0431384e78e26ee805d79,10,9
2,003ef0f244a146eba6753a536d338575,7,6
3,0051a6ca5fa945f382892961241569ef,1,0
4,0056ec15c00249489c4383ddee8b4711,2,1
5,00668de567aa4ae3bb499a2f57f7878e,1,0
6,008b572c6f264849bdd88351f3c974d9,7,6
7,00968e66012e43a8afa250287b12cc14,5,4
8,00b35c434c8345c6b0dfda8f4027f647,4,3
9,00b54dce625a494da82e1b4356be3acf,3,2
10,00bc2ca89b3141e092a1bb7a0d6aa4f7,1,0
11,00dd2b9721b2427b9cedde5db7556818,5,4
12,00e32ca2998241279f136e93ad4af503,2,1
13,00edb82c97074ef09c0d41c72666b844,8,7
14,01026765e5884d139793263f7b0fa154,9,8
15,011b4194115b4ded984021feeff65b34,7,6
16,013737d517de4337a1aff0303b8a15b9,8,7
17,0142ebcd4e0f4067a0f7ff0a5bf6fac6,1,0
18,0157b23002be469d9549ea571ad71664,4,3
19,0158923d77824ff4bc669f9938bfc59e,4,3
20,0163d80816f840548b7d2fa010400e2f,1,0
21,0171e19615c94697a879a9060f8ab29e,9,8
22,0176df096bdd453c9da7c47d3ee271b2,3,2
23,018a0369de7141a5b830408232b5d80d,5,4
24,01a6c2e8b29941219712e1bc6d3a9f1a,9,8
25,01d1a0ae276640ef94b9684efdaec15b,2,1
26,01f8a6b7846848aeb63f5c28363be90b,9,8
27,01fea1a6a48c4c41a14e801e6029eb3e,6,5
28,020939f2905341c6bf00425753f57c81,2,1
29,020950934953474eabd6de34525070fb,7,6
30,0217af5144d643aea96b8196bf919c32,8,7
31,026a5476bc0941398e13c9eddb8ff713,6,5
32,0290c5ae40634bedbd6b103b5949a411,8,7
33,02c7d52277144a97808ae7b2942b3234,7,6
34,02cf49baeaa04222b83b53559aaddd8d,8,7
35,02d97b7843ab4b999637c0b4f791d87a,3,2
36,02f8b42eeb95449cb519388b334513fb,3,2
37,0304f546238b47f4836c91d88d2273f9,4,3
38,0328408727ad4232a0d256b7c0d5c2c7,1,0
39,034d2e7605a1478db0d120e2d37decc3,7,6
40,0351ce8cdbfb4189b17fcd26c5ca4223,9,8
41,0375394aef234137b0359d95f6bcfad1,4,3
42,037ea0fc190f4040aa1589c1921b52e0,8,7
43,03a2f9b80bbc478787604b99f1796223,7,6
44,03aade3a4f80430f8a30e5a142ff75af,6,5
45,03b1ff5ea32d44c2b132fef34ec24be7,2,1
46,03d61a5111e341dcbd78ce69f93932bf,5,4
47,03d850a3bbb742538633f6a5c79e4834,1,0
48,03df7827b6904381b407cf488a2b1ca5,1,0
49,03fbf3409b6d4a1eb13cb9b253bcf0a2,8,7
50,0408f084f30b44b498546a1ffda01d73,3,2
51,045684d2d5674cbeb285f17589e87058,5,4
52,04a773bc6c9f453296f7febf1d7c5213,2,1
53,04bd8dc4c3264c7ab8ccb7fb8cd1c956,6,5
54,04c559e4d96345d5be0a9e85f4c4952f,8,7
55,04cde8f2bb58428f9f76313a6df58d88,2,1
56,04e43c35ed26481d9004f3cf491795f6,2,1
57,05000b6a21d74e15a6e9b471e7aa58f6,5,4
58,05047309162f46cc96aeefbe67f5d5e8,1,0
59,051d337f4dea4a3e946cc061e622d864,6,5
